"hed__School_Code__c","hed__Primary_Contact__c"
"12439205","003VA00000J8x79YAB"
"12439204","003VA00000J8x7AYAR"
"12439202","003VA00000J8x7DYAR"
"12439201","003VA00000J8x7BYAR"
"12439200","003VA00000J8x7CYAR"
"12439198","003VA00000J8x7GYAR"
"12439197","003VA00000J8x7EYAR"
"12439196","003VA00000J8x7FYAR"
"12439187","003VA00000J8x7HYAR"
"12439125","003VA00000J8x7gYAB"
"12439124","003VA00000J8x7hYAB"
"12439119","003VA00000J8x7jYAB"
"12439114","003VA00000J8x7kYAB"
"12439112","003VA00000Jfp28YAB"
"12439111","003VA00000Jfp2DYAR"
"12439110","003VA00000Jfp2FYAR"
"12439109","003VA00000Jfp2AYAR"
"12439082","003VA00000J8x7RYAR"
"12439067","003VA00000J8x7TYAR"
"12439066","003VA00000Jfp1QYAR"
"12439065","003VA00000J8x7SYAR"
"12439060","003VA00000J8x7WYAR"
"12439058","003VA00000J8x7aYAB"
"12439057","003VA00000J8x7YYAR"
"12439056","003VA00000Jfp1TYAR"
"12439055","003VA00000J8x7bYAB"
"12439054","003VA00000Jfp1VYAR"
"12439041","003VA00000Jfp1aYAB"
"12438986","003VA00000J8x6NYAR"
"12438960","003VA00000Jfov2YAB"
"12438951","003VA00000J8x63YAB"
"12438943","003VA00000J8x66YAB"
"12438942","003VA00000J8x67YAB"
"12438941","003VA00000J8x64YAB"
"12438940","003VA00000J8x65YAB"
"12438939","003VA00000J8x69YAB"
"12438937","003VA00000J8x68YAB"
"12438935","003VA00000J8x6AYAR"
"12438933","003VA00000JfovHYAR"
"12438918","003VA00000J8x6HYAR"
"12438915","003VA00000J8x6IYAR"
"12438874","003VA00000J8x6zYAB"
"12438858","003VA00000J8x71YAB"
"12438855","003VA00000J8x72YAB"
"12438851","003VA00000J8x74YAB"
"12438838","003VA00000J8x6OYAR"
"12438791","003VA00000JfozMYAR"
"12438790","003VA00000JfozOYAR"
"12438789","003VA00000J8x6YYAR"
"12438788","003VA00000J8x6ZYAR"
"12438775","003VA00000J8x5aYAB"
"12438773","003VA00000J8x5YYAR"
"12438772","003VA00000J8x5ZYAR"
"12438770","003VA00000JfotYYAR"
"12438769","003VA00000JfotVYAR"
"12438765","003VA00000J8x5bYAB"
"12438761","003VA00000J8x5cYAB"
"12438702","003VA00000J8x5RYAR"
"12438700","003VA00000J8x5QYAR"
"12438689","003VA00000J8x5UYAR"
"12438682","003VA00000Jfot4YAB"
"12438681","003VA00000JfosyYAB"
"12438674","003VA00000Jfot7YAB"
"12438610","003VA00000J8x5vYAB"
"12438606","003VA00000J8x5zYAB"
"12438605","003VA00000J8x5wYAB"
"12438604","003VA00000J8x5xYAB"
"12438603","003VA00000J8x60YAB"
"12438576","003VA00000J8x5fYAB"
"12438575","003VA00000J8x5gYAB"
"12438574","003VA00000JfotyYAB"
"12438555","003VA00000J8x5iYAB"
"12438550","003VA00000JfouCYAR"
"12438549","003VA00000J8x5jYAB"
"12438548","003VA00000Jfou9YAB"
"12438547","003VA00000JfouEYAR"
"12438546","003VA00000JfouFYAR"
"12438544","003VA00000J8x5kYAB"
"12438540","003VA00000J8x5lYAB"
"12438537","003VA00000J8x5mYAB"
"12438506","003VA00000J8x58YAB"
"12438501","003VA00000J8x59YAB"
"12438463","003VA00000JaBgPYAV"
"12438462","003VA00000JfoqWYAR"
"12438448","003VA00000J8x4zYAB"
"12438388","003VA00000J8x5EYAR"
"12438377","003VA00000J8x5FYAR"
"12438376","003VA00000J8x5GYAR"
"12438375","003VA00000J8x5IYAR"
"12438374","003VA00000J8x5KYAR"
"12438373","003VA00000Jfos9YAB"
"12438343","003VA00000J8x5NYAR"
"12438342","003VA00000J8x5OYAR"
"12438340","003VA00000J8x5MYAR"
"12438337","003VA00000JfosSYAR"
"12438295","003VA00000JjnXaYAJ"
"12438287","003VA00000JfornYAB"
"12438269","003VA00000J8x4QYAR"
"12438263","003VA00000J8x4RYAR"
"12438255","003VA00000J8x4TYAR"
"12438254","003VA00000J8x4VYAR"
"12438253","003VA00000JfopOYAR"
"12438236","003VA00000J8x4YYAR"
"12438235","003VA00000J8x4cYAB"
"12438229","003VA00000J8x4dYAB"
"12438228","003VA00000J8x4eYAB"
"12438227","003VA00000JfopZYAR"
"12438226","003VA00000JfopcYAB"
"12438222","003VA00000JfopdYAB"
"12438210","003VA00000J8x4fYAB"
"12438198","003VA00000J8x4IYAR"
"12438162","003VA00000J8x4LYAR"
"12438161","003VA00000J8x4KYAR"
"12438157","003VA00000J8x4MYAR"
"12438156","003VA00000J8x4NYAR"
"12438153","003VA00000J8x4OYAR"
"12438148","003VA00000J8x4PYAR"
"12438122","003VA00000Jfoq7YAB"
"12438120","003VA00000J8x4rYAB"
"12438118","003VA00000J8x4sYAB"
"12438117","003VA00000JfoqAYAR"
"12438116","003VA00000JfoqCYAR"
"12438115","003VA00000JfoqEYAR"
"12438114","003VA00000JfoqGYAR"
"12438093","003VA00000J8x4tYAB"
"12438081","003VA00000J8x4vYAB"
"12438080","003VA00000J8x4wYAB"
"12438076","003VA00000JCnnHYAT"
"12438066","003VA00000J8x4hYAB"
"12438058","003VA00000J8x4jYAB"
"12438055","003VA00000J8x4lYAB"
"12438052","003VA00000J8x4kYAB"
"12438046","003VA00000J8x4nYAB"
"12438034","003VA00000J8x4pYAB"
"12438033","003VA00000J8x4oYAB"
"12437970","003VA00000J8x3yYAB"
"12437969","003VA00000J8x3wYAB"
"12437968","003VA00000J8x3xYAB"
"12437967","003VA00000JfonsYAB"
"12437966","003VA00000JfontYAB"
"12437965","003VA00000JfonqYAB"
"12437954","003VA00000J8x40YAB"
"12437952","003VA00000J8x3zYAB"
"12437935","003VA00000JfonPYAR"
"12437934","003VA00000JfonQYAR"
"12437933","003VA00000JfonMYAR"
"12437932","003VA00000JfonOYAR"
"12437922","003VA00000J8x3uYAB"
"12437867","003VA00000J8x48YAB"
"12437865","003VA00000J8x47YAB"
"12437863","003VA00000JjnXsYAJ"
